,mutual_information,random_forest_importance,mi_rank,rf_rank,combined_rank
135,0.005175406073468114,0.0022898624368262463,173.0,134.0,307.0
428,0.013629760529225265,0.0017166474700984076,63.0,244.0,307.0
469,0.0021624665688251277,0.0029349048864893332,239.0,69.0,308.0
25,0.003865353833258034,0.002440412037996054,198.0,112.0,310.0
467,0.006344842870173117,0.0021445148643303314,154.0,157.0,311.0
562,0.009493471188695368,0.001835920939772921,106.0,216.0,322.0
26,0.011831397783671482,0.0017254560962400994,85.0,240.0,325.0
197,0.0014865336976523924,0.0029216793090800484,254.0,71.0,325.0
447,0.01296816298165604,0.0016650704276383905,70.0,256.0,326.0
168,0.00933737040745064,0.00183094249410687,108.0,219.0,327.0
334,0.002722090520794085,0.0025219507766066985,221.0,107.0,328.0
424,0.009290844539222354,0.0018300104815656385,109.0,220.0,329.0
390,0.00030089660875720625,0.0034960453778744563,281.0,49.0,330.0
250,0.00457035400414485,0.0022170425065298166,185.0,146.0,331.0
459,0.0037644429734151608,0.0023059367909612385,200.0,132.0,332.0
36,0.005534134813006242,0.0020885697741666797,163.0,171.0,334.0
58,0.005291238230493045,0.0021033690411868234,168.0,166.0,334.0
84,0.01919259361982406,0.0014624035672215544,28.0,307.0,335.0
574,0.01669549872695697,0.0015082071092929654,40.0,297.0,337.0
408,0.0020086793069122866,0.0026426233937356064,242.0,95.0,337.0
475,0.002163150983258255,0.002607481250300643,238.0,102.0,340.0
140,0.01144307994066196,0.0016845725239670703,89.0,251.0,340.0
413,0.02186831036707293,0.0014003749713220467,16.0,325.0,341.0
3,0.010105371803193375,0.001718319806274838,100.0,242.0,342.0
575,0.012628998613426035,0.0015995597461294793,75.0,270.0,345.0
177,0.012291846390257932,0.001609079977358657,79.0,268.0,347.0
277,0.027380382233905598,0.0013040484249124123,3.0,344.0,347.0
497,0.01272450624163457,0.0015686498352212512,72.0,277.0,349.0
561,0.005010553949190033,0.0020772266202625927,178.0,173.0,351.0
586,0.006462830595056479,0.0018905952496574973,149.0,203.0,352.0
546,0.007939823394334855,0.0018050512331165827,126.0,228.0,354.0
572,0.015387509917689002,0.0014650536613798578,51.0,304.0,355.0
32,0.0026172384435165785,0.0023032901596691095,224.0,133.0,357.0
124,0.001759931768573253,0.002506998762910517,249.0,109.0,358.0
321,0.0042468218413878045,0.002096510529861697,192.0,168.0,360.0
113,0.006519188250005525,0.001835496418730786,147.0,217.0,364.0
454,0.0018684688693135776,0.002361097729375177,247.0,121.0,368.0
184,0.0020621550927097942,0.002322302133748913,240.0,128.0,368.0
511,0.0052839180925636775,0.0019185004901746874,170.0,199.0,369.0
228,0.00871056800534653,0.0016663041979641316,115.0,254.0,369.0
582,0.0006087255215203591,0.0026221200349548683,272.0,98.0,370.0
291,0.0018911728346295842,0.00232549042665558,246.0,127.0,373.0
154,0.005457646439033903,0.0018750427836437369,167.0,207.0,374.0
117,0.00511220719928307,0.0018998917536126563,175.0,201.0,376.0
129,0.0,0.0071233660305358715,367.0,12.0,379.0
115,0.008706169249055318,0.0016327675799361564,116.0,264.0,380.0
338,0.019226309768196614,0.001270652853484337,27.0,354.0,381.0
412,0.027778233502627758,0.0011372781577157407,2.0,383.0,385.0
34,0.007828738941765279,0.001653994827953345,128.0,258.0,386.0
183,0.0,0.005406800366698191,367.0,20.0,387.0
203,0.0013375848466343765,0.0023117120016839065,259.0,129.0,388.0
484,0.0002320395169190803,0.0025222660150205816,282.0,106.0,388.0
281,0.0,0.0051164312696293165,367.0,22.0,389.0
421,0.0035239158286142214,0.002009695902934796,206.0,185.0,391.0
583,0.008635015819807856,0.0015794738198906314,118.0,274.0,392.0
81,0.0,0.004597850026878289,367.0,28.0,395.0
282,0.008571593908590414,0.0015755564020145222,119.0,276.0,395.0
524,0.0,0.004564780814745297,367.0,30.0,397.0
585,0.00806563770287716,0.0015801030334387724,125.0,273.0,398.0
460,0.0,0.004372972585193881,367.0,32.0,399.0
343,0.0025044603210571115,0.002079922153455413,229.0,172.0,401.0
152,0.0,0.004179122322752292,367.0,35.0,402.0
51,0.005201844882292583,0.0017968563966207674,172.0,231.0,403.0
105,0.0009965959680686698,0.0022507596359673024,266.0,137.0,403.0
38,0.007110876181367853,0.0016388032245320094,140.0,263.0,403.0
445,0.002531715866368245,0.002069908225565285,228.0,176.0,404.0
43,0.004083431336818766,0.001845100717914195,195.0,214.0,409.0
493,0.0001815614584652625,0.0023274090555503103,283.0,126.0,409.0
423,0.0,0.003615022442533839,367.0,44.0,411.0
289,0.015775840709415068,0.0012150101138793255,48.0,366.0,414.0
567,0.0015973756130926997,0.0021226564231332065,252.0,163.0,415.0
134,0.007785976442812315,0.0015455249880751306,129.0,288.0,417.0
312,0.01800516010004527,0.0011324018572444262,34.0,384.0,418.0
571,0.020525831233437986,0.0010649094939362796,23.0,397.0,420.0
348,0.0,0.003331497462231741,367.0,54.0,421.0
252,0.0,0.0032684640666766082,367.0,55.0,422.0
311,0.007693969760767416,0.0015217131359694701,131.0,292.0,423.0
